,star rating,title,content rating,genre,duration,actors list,mean rating,duration bool,duration_bool
476,7.8,Hamlet,PG-13,Drama,242,"K, e, n, n, e, t, h,  , B, r, a, n, a, g, h, ,,  , J, u, l, i, e,  , C, h, r, i, s, t, i, e, ,,  , D, e, r, e, k,  , J, a, c, o, b, i",7.902517985611511,1,1
157,8.2,Gone with the Wind,G,Drama,238,"C, l, a, r, k,  , G, a, b, l, e, ,,  , V, i, v, i, e, n,  , L, e, i, g, h, ,,  , T, h, o, m, a, s,  , M, i, t, c, h, e, l, l",7.902517985611511,1,1
78,8.4,Once Upon a Time in America,R,Crime,229,"R, o, b, e, r, t,  , D, e,  , N, i, r, o, ,,  , J, a, m, e, s,  , W, o, o, d, s, ,,  , E, l, i, z, a, b, e, t, h,  , M, c, G, o, v, e, r, n",7.916935483870968,1,1
142,8.3,Lagaan: Once Upon a Time in India,PG,Adventure,224,"A, a, m, i, r,  , K, h, a, n, ,,  , G, r, a, c, y,  , S, i, n, g, h, ,,  , R, a, c, h, e, l,  , S, h, e, l, l, e, y",7.933333333333334,1,1
445,7.9,The Ten Commandments,APPROVED,Adventure,220,"C, h, a, r, l, t, o, n,  , H, e, s, t, o, n, ,,  , Y, u, l,  , B, r, y, n, n, e, r, ,,  , A, n, n, e,  , B, a, x, t, e, r",7.933333333333334,1,1
85,8.4,Lawrence of Arabia,PG,Adventure,216,"P, e, t, e, r,  , O, ', T, o, o, l, e, ,,  , A, l, e, c,  , G, u, i, n, n, e, s, s, ,,  , A, n, t, h, o, n, y,  , Q, u, i, n, n",7.933333333333334,1,1
204,8.1,Ben-Hur,G,Adventure,212,"C, h, a, r, l, t, o, n,  , H, e, s, t, o, n, ,,  , J, a, c, k,  , H, a, w, k, i, n, s, ,,  , S, t, e, p, h, e, n,  , B, o, y, d",7.933333333333334,1,1
17,8.7,Seven Samurai,UNRATED,Drama,207,"T, o, s, h, i, r, ô,  , M, i, f, u, n, e, ,,  , T, a, k, a, s, h, i,  , S, h, i, m, u, r, a, ,,  , K, e, i, k, o,  , T, s, u, s, h, i, m, a",7.902517985611511,1,1
767,7.6,"It's a Mad, Mad, Mad, Mad World",APPROVED,Action,205,"S, p, e, n, c, e, r,  , T, r, a, c, y, ,,  , M, i, l, t, o, n,  , B, e, r, l, e, ,,  , E, t, h, e, l,  , M, e, r, m, a, n",7.884558823529411,1,1
630,7.7,Malcolm X,PG-13,Biography,202,"D, e, n, z, e, l,  , W, a, s, h, i, n, g, t, o, n, ,,  , A, n, g, e, l, a,  , B, a, s, s, e, t, t, ,,  , D, e, l, r, o, y,  , L, i, n, d, o",7.862337662337662,1,1
7,8.9,The Lord of the Rings: The Return of the King,PG-13,Adventure,201,"E, l, i, j, a, h,  , W, o, o, d, ,,  , V, i, g, g, o,  , M, o, r, t, e, n, s, e, n, ,,  , I, a, n,  , M, c, K, e, l, l, e, n",7.933333333333334,1,1
2,9.1,The Godfather: Part II,R,Crime,200,"A, l,  , P, a, c, i, n, o, ,,  , R, o, b, e, r, t,  , D, e,  , N, i, r, o, ,,  , R, o, b, e, r, t,  , D, u, v, a, l, l",7.916935483870968,1,1
335,8.0,Doctor Zhivago,PG-13,Drama,197,"O, m, a, r,  , S, h, a, r, i, f, ,,  , J, u, l, i, e,  , C, h, r, i, s, t, i, e, ,,  , G, e, r, a, l, d, i, n, e,  , C, h, a, p, l, i, n",7.902517985611511,1,1
385,8.0,Spartacus,PG-13,Action,197,"K, i, r, k,  , D, o, u, g, l, a, s, ,,  , L, a, u, r, e, n, c, e,  , O, l, i, v, i, e, r, ,,  , J, e, a, n,  , S, i, m, m, o, n, s",7.884558823529411,1,1
8,8.9,Schindler's List,R,Biography,195,"L, i, a, m,  , N, e, e, s, o, n, ,,  , R, a, l, p, h,  , F, i, e, n, n, e, s, ,,  , B, e, n,  , K, i, n, g, s, l, e, y",7.862337662337662,1,1
620,7.7,Titanic,PG-13,Drama,194,"L, e, o, n, a, r, d, o,  , D, i, C, a, p, r, i, o, ,,  , K, a, t, e,  , W, i, n, s, l, e, t, ,,  , B, i, l, l, y,  , Z, a, n, e",7.902517985611511,1,1
424,7.9,The Right Stuff,R,Adventure,193,"S, a, m,  , S, h, e, p, a, r, d, ,,  , S, c, o, t, t,  , G, l, e, n, n, ,,  , E, d,  , H, a, r, r, i, s",7.933333333333334,1,1
220,8.1,Gandhi,PG,Biography,191,"B, e, n,  , K, i, n, g, s, l, e, y, ,,  , J, o, h, n,  , G, i, e, l, g, u, d, ,,  , C, a, n, d, i, c, e,  , B, e, r, g, e, n",7.862337662337662,1,1
671,7.7,Grindhouse,R,Action,191,"K, u, r, t,  , R, u, s, s, e, l, l, ,,  , R, o, s, e,  , M, c, G, o, w, a, n, ,,  , D, a, n, n, y,  , T, r, e, j, o",7.884558823529411,1,1
89,8.4,Swades,NOT RATED,Drama,189,"S, h, a, h,  , R, u, k, h,  , K, h, a, n, ,,  , G, a, y, a, t, r, i,  , J, o, s, h, i, ,,  , K, i, s, h, o, r, i,  , B, a, l, a, l",7.902517985611511,1,1
40,8.5,The Green Mile,R,Crime,189,"T, o, m,  , H, a, n, k, s, ,,  , M, i, c, h, a, e, l,  , C, l, a, r, k, e,  , D, u, n, c, a, n, ,,  , D, a, v, i, d,  , M, o, r, s, e",7.916935483870968,1,1
316,8.0,JFK,R,Drama,189,"K, e, v, i, n,  , C, o, s, t, n, e, r, ,,  , G, a, r, y,  , O, l, d, m, a, n, ,,  , J, a, c, k,  , L, e, m, m, o, n",7.902517985611511,1,1
184,8.2,Fanny and Alexander,R,Drama,188,"B, e, r, t, i, l,  , G, u, v, e, ,,  , P, e, r, n, i, l, l, a,  , A, l, l, w, i, n, ,,  , K, r, i, s, t, i, n, a,  , A, d, o, l, p, h, s, o, n",7.902517985611511,1,1
318,8.0,Magnolia,R,Drama,188,"T, o, m,  , C, r, u, i, s, e, ,,  , J, a, s, o, n,  , R, o, b, a, r, d, s, ,,  , J, u, l, i, a, n, n, e,  , M, o, o, r, e",7.902517985611511,1,1
611,7.7,Short Cuts,R,Comedy,187,"A, n, d, i, e,  , M, a, c, D, o, w, e, l, l, ,,  , J, u, l, i, a, n, n, e,  , M, o, o, r, e, ,,  , T, i, m,  , R, o, b, b, i, n, s",7.822435897435897,1,1
132,8.3,Judgment at Nuremberg,NOT RATED,Drama,186,"S, p, e, n, c, e, r,  , T, r, a, c, y, ,,  , B, u, r, t,  , L, a, n, c, a, s, t, e, r, ,,  , R, i, c, h, a, r, d,  , W, i, d, m, a, r, k",7.902517985611511,1,1
245,8.1,Barry Lyndon,PG,Adventure,184,"R, y, a, n,  , O, ', N, e, a, l, ,,  , M, a, r, i, s, a,  , B, e, r, e, n, s, o, n, ,,  , P, a, t, r, i, c, k,  , M, a, g, e, e",7.933333333333334,1,1
109,8.3,Dil Chahta Hai,NOT RATED,Comedy,183,"A, a, m, i, r,  , K, h, a, n, ,,  , S, a, i, f,  , A, l, i,  , K, h, a, n, ,,  , A, k, s, h, a, y, e,  , K, h, a, n, n, a",7.822435897435897,1,1
166,8.2,The Deer Hunter,R,Drama,182,"R, o, b, e, r, t,  , D, e,  , N, i, r, o, ,,  , C, h, r, i, s, t, o, p, h, e, r,  , W, a, l, k, e, n, ,,  , J, o, h, n,  , C, a, z, a, l, e",7.902517985611511,1,1
93,8.4,Dilwale Dulhania Le Jayenge,NOT RATED,Comedy,181,"S, h, a, h,  , R, u, k, h,  , K, h, a, n, ,,  , K, a, j, o, l, ,,  , A, m, r, i, s, h,  , P, u, r, i",7.822435897435897,1,1
339,8.0,Dances with Wolves,PG-13,Adventure,181,"K, e, v, i, n,  , C, o, s, t, n, e, r, ,,  , M, a, r, y,  , M, c, D, o, n, n, e, l, l, ,,  , G, r, a, h, a, m,  , G, r, e, e, n, e",7.933333333333334,1,1
361,8.0,Fiddler on the Roof,G,Drama,181,"T, o, p, o, l, ,,  , N, o, r, m, a,  , C, r, a, n, e, ,,  , L, e, o, n, a, r, d,  , F, r, e, y",7.902517985611511,1,1
143,8.2,The Wolf of Wall Street,R,Biography,180,"L, e, o, n, a, r, d, o,  , D, i, C, a, p, r, i, o, ,,  , J, o, n, a, h,  , H, i, l, l, ,,  , M, a, r, g, o, t,  , R, o, b, b, i, e",7.862337662337662,1,1
14,8.8,The Lord of the Rings: The Two Towers,PG-13,Adventure,179,"E, l, i, j, a, h,  , W, o, o, d, ,,  , I, a, n,  , M, c, K, e, l, l, e, n, ,,  , V, i, g, g, o,  , M, o, r, t, e, n, s, e, n",7.933333333333334,1,1
456,7.9,Blue Is the Warmest Color,NC-17,Drama,179,"L, é, a,  , S, e, y, d, o, u, x, ,,  , A, d, è, l, e,  , E, x, a, r, c, h, o, p, o, u, l, o, s, ,,  , S, a, l, i, m,  , K, e, c, h, i, o, u, c, h, e",7.902517985611511,1,1
534,7.8,The Longest Day,G,Action,178,"J, o, h, n,  , W, a, y, n, e, ,,  , R, o, b, e, r, t,  , R, y, a, n, ,,  , R, i, c, h, a, r, d,  , B, u, r, t, o, n",7.884558823529411,1,1
10,8.8,The Lord of the Rings: The Fellowship of the Ring,PG-13,Adventure,178,"E, l, i, j, a, h,  , W, o, o, d, ,,  , I, a, n,  , M, c, K, e, l, l, e, n, ,,  , O, r, l, a, n, d, o,  , B, l, o, o, m",7.933333333333334,1,1
156,8.2,Casino,R,Biography,178,"R, o, b, e, r, t,  , D, e,  , N, i, r, o, ,,  , S, h, a, r, o, n,  , S, t, o, n, e, ,,  , J, o, e,  , P, e, s, c, i",7.862337662337662,1,1
300,8.0,Dogville,R,Crime,178,"N, i, c, o, l, e,  , K, i, d, m, a, n, ,,  , P, a, u, l,  , B, e, t, t, a, n, y, ,,  , L, a, u, r, e, n,  , B, a, c, a, l, l",7.916935483870968,1,1
82,8.4,Braveheart,R,Action,177,"M, e, l,  , G, i, b, s, o, n, ,,  , S, o, p, h, i, e,  , M, a, r, c, e, a, u, ,,  , P, a, t, r, i, c, k,  , M, c, G, o, o, h, a, n",7.884558823529411,1,1
26,8.6,Once Upon a Time in the West,PG-13,Western,175,"H, e, n, r, y,  , F, o, n, d, a, ,,  , C, h, a, r, l, e, s,  , B, r, o, n, s, o, n, ,,  , C, l, a, u, d, i, a,  , C, a, r, d, i, n, a, l, e",8.255555555555555,1,1
1,9.2,The Godfather,R,Crime,175,"M, a, r, l, o, n,  , B, r, a, n, d, o, ,,  , A, l,  , P, a, c, i, n, o, ,,  , J, a, m, e, s,  , C, a, a, n",7.916935483870968,1,1
941,7.4,A Bridge Too Far,PG,Drama,175,"S, e, a, n,  , C, o, n, n, e, r, y, ,,  , R, y, a, n,  , O, ', N, e, a, l, ,,  , M, i, c, h, a, e, l,  , C, a, i, n, e",7.902517985611511,1,1
231,8.1,La Dolce Vita,NOT RATED,Comedy,174,"M, a, r, c, e, l, l, o,  , M, a, s, t, r, o, i, a, n, n, i, ,,  , A, n, i, t, a,  , E, k, b, e, r, g, ,,  , A, n, o, u, k,  , A, i, m, é, e",7.822435897435897,1,1
348,8.0,The Sound of Music,G,Biography,174,"J, u, l, i, e,  , A, n, d, r, e, w, s, ,,  , C, h, r, i, s, t, o, p, h, e, r,  , P, l, u, m, m, e, r, ,,  , E, l, e, a, n, o, r,  , P, a, r, k, e, r",7.862337662337662,1,1
842,7.5,Cloud Atlas,R,Drama,172,"T, o, m,  , H, a, n, k, s, ,,  , H, a, l, l, e,  , B, e, r, r, y, ,,  , H, u, g, h,  , G, r, a, n, t",7.902517985611511,1,1
120,8.3,The Great Escape,UNRATED,Adventure,172,"S, t, e, v, e,  , M, c, Q, u, e, e, n, ,,  , J, a, m, e, s,  , G, a, r, n, e, r, ,,  , R, i, c, h, a, r, d,  , A, t, t, e, n, b, o, r, o, u, g, h",7.933333333333334,1,1
302,8.0,Patton,GP,Biography,172,"G, e, o, r, g, e,  , C, .,  , S, c, o, t, t, ,,  , K, a, r, l,  , M, a, l, d, e, n, ,,  , S, t, e, p, h, e, n,  , Y, o, u, n, g",7.862337662337662,1,1
159,8.2,The Best Years of Our Lives,PASSED,Drama,172,"F, r, e, d, r, i, c,  , M, a, r, c, h, ,,  , D, a, n, a,  , A, n, d, r, e, w, s, ,,  , M, y, r, n, a,  , L, o, y",7.902517985611511,1,1
888,7.5,The Aviator,PG-13,Biography,170,"L, e, o, n, a, r, d, o,  , D, i, C, a, p, r, i, o, ,,  , C, a, t, e,  , B, l, a, n, c, h, e, t, t, ,,  , K, a, t, e,  , B, e, c, k, i, n, s, a, l, e",7.862337662337662,1,1
135,8.3,Heat,R,Action,170,"A, l,  , P, a, c, i, n, o, ,,  , R, o, b, e, r, t,  , D, e,  , N, i, r, o, ,,  , V, a, l,  , K, i, l, m, e, r",7.884558823529411,1,1
60,8.5,3 Idiots,PG-13,Comedy,170,"A, a, m, i, r,  , K, h, a, n, ,,  , M, a, d, h, a, v, a, n, ,,  , M, o, n, a,  , S, i, n, g, h",7.822435897435897,1,1
115,8.3,Scarface,R,Crime,170,"A, l,  , P, a, c, i, n, o, ,,  , M, i, c, h, e, l, l, e,  , P, f, e, i, f, f, e, r, ,,  , S, t, e, v, e, n,  , B, a, u, e, r",7.916935483870968,1,1
444,7.9,My Fair Lady,APPROVED,Drama,170,"A, u, d, r, e, y,  , H, e, p, b, u, r, n, ,,  , R, e, x,  , H, a, r, r, i, s, o, n, ,,  , S, t, a, n, l, e, y,  , H, o, l, l, o, w, a, y",7.902517985611511,1,1
731,7.6,The Thin Red Line,R,Drama,170,"J, i, m,  , C, a, v, i, e, z, e, l, ,,  , S, e, a, n,  , P, e, n, n, ,,  , N, i, c, k,  , N, o, l, t, e",7.902517985611511,1,1
15,8.7,Interstellar,PG-13,Adventure,169,"M, a, t, t, h, e, w,  , M, c, C, o, n, a, u, g, h, e, y, ,,  , A, n, n, e,  , H, a, t, h, a, w, a, y, ,,  , J, e, s, s, i, c, a,  , C, h, a, s, t, a, i, n",7.933333333333334,1,1
362,8.0,The Hobbit: An Unexpected Journey,PG-13,Adventure,169,"M, a, r, t, i, n,  , F, r, e, e, m, a, n, ,,  , I, a, n,  , M, c, K, e, l, l, e, n, ,,  , R, i, c, h, a, r, d,  , A, r, m, i, t, a, g, e",7.933333333333334,1,1
36,8.6,Saving Private Ryan,R,Action,169,"T, o, m,  , H, a, n, k, s, ,,  , M, a, t, t,  , D, a, m, o, n, ,,  , T, o, m,  , S, i, z, e, m, o, r, e",7.884558823529411,1,1
684,7.7,The Big Blue,PG-13,Action,168,"J, e, a, n, -, M, a, r, c,  , B, a, r, r, ,,  , J, e, a, n,  , R, e, n, o, ,,  , R, o, s, a, n, n, a,  , A, r, q, u, e, t, t, e",7.884558823529411,1,1
